Id,IsAccountPrivate,IsVerified,HasProfilePicture,NumberFollowing,NumberFollowers,NumberLikes,HasInstagramLink,HasYoutubeLink,HasAccountDescription,HasLinkInDescription,PostsExist,NumberOfPosts,FollowingToFollowerRatio,LikesToFollowerRatio,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfCharacters,AverageNumberOfForwardings,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfUsedFilters,AverageNumberOfViews,LikesToViewRatio,CommentsToViewRatio
D728D410-8E7D-414A-AE3E-F1791E43003B,0,0,1.0,206,98,41.0,1,0,1.0,0.0,1.0,19.0,2.1020408163265305,0.41836734693877553,1.3157894736842106,0.0526315789473684,24.0,0.0,1.6842105263157894,0.0,0.3157894736842105,24.210526315789476,0.0695652173913043,0.0021739130434782
61151567-935C-429F-9D99-F183520332DD,0,0,1.0,57,3505,6444.0,1,0,1.0,0.0,1.0,20.0,0.016262482168330955,1.8385164051355207,1.4,3.25,28.0,0.0,100.05,0.05,0.05,4110.9,0.0243377362621323,0.0007905811379503
1D68ABE6-3FB9-4764-91E7-F185BDC4224E,0,0,1.0,207,5,0.0,0,0,0.0,0.0,0.0,0.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35F93DFD-442D-4FE7-BA9A-F19CB4B019D5,1,0,1.0,40,1,0.0,0,0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9C8E094E-8569-4FBE-8340-F1A32F7860F8,1,0,1.0,2179,98,0.0,0,0,0.0,0.0,0.0,0.0,22.23469387755102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8884D3F6-B4A5-4322-8707-F1A33C6D8539,0,0,1.0,580,18,0.0,0,0,0.0,0.0,0.0,0.0,32.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1F134AE5-BBD8-42BD-BC73-F1AC5059B16E,0,0,1.0,149,2,0.0,0,0,0.0,0.0,0.0,0.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6F59291-F1EE-4AC5-A95E-F1AC82FA0317,0,0,1.0,2710,45,0.0,0,0,0.0,0.0,0.0,0.0,60.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01B1A9F6-407A-4091-9CE3-F1B8D21E07BE,0,0,1.0,229,10,17.0,0,0,0.0,0.0,1.0,5.0,22.9,1.7,0.0,0.0,11.8,0.0,3.4,0.2,0.2,10.0,0.3399999999999999,0.0
F03CE9CB-C477-4DFB-BA41-F1BE1DC07A70,0,0,1.0,34,2,6.0,0,0,0.0,0.0,1.0,10.0,17.0,3.0,0.5,0.0,7.7,0.0,0.6,0.0,0.0,1.6,0.3749999999999999,0.0
631411B7-BAE7-4302-A742-F1BE4AE256D4,0,0,1.0,715,83,170.0,1,0,1.0,0.0,1.0,20.0,8.614457831325302,2.0481927710843375,0.7,0.1,9.85,0.0,4.05,0.0,0.05,20.45,0.1980440097799511,0.0048899755501222
D6BCEDF5-945B-4C38-84B2-F1C8C29AE211,0,1,1.0,32,217100,3400000.0,1,1,1.0,0.0,1.0,20.0,0.00014739751266697375,15.66098572086596,1.45,209.1,49.1,771.6,36789.35,0.2,0.0,335670.0,0.1095997557124556,0.0006229332380016
6A53B806-FF64-428F-A5DC-F1CE77ADED97,0,0,1.0,377,24,93.0,0,0,0.0,0.0,1.0,14.0,15.708333333333334,3.875,0.3571428571428571,0.0714285714285714,4.0,0.0714285714285714,6.642857142857143,0.0,0.3571428571428571,246.2142857142857,0.0269799825935596,0.0002901073397156
8BA436B2-C467-46DD-99FD-F1CF2D16607C,0,0,1.0,334,9432,420000.0,0,0,1.0,0.0,1.0,13.0,0.03541136556403732,44.529262086513995,7.384615384615385,297.0769230769231,116.92307692307692,854.0769230769231,32309.46153846154,0.0,0.0,190315.92307692303,0.1697675161179367,0.0015609672500017
BE36E1C5-38A3-4409-9F9C-F1DB7A2AFFC5,0,0,1.0,850,108,0.0,0,0,1.0,0.0,0.0,0.0,7.87037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660D8DC2-4C40-48FC-9A2B-F1DBF32A2CDB,0,0,1.0,3991,38,0.0,0,0,0.0,0.0,0.0,0.0,105.02631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86BB17A4-32AC-4780-A78D-F1DD49AF6F8E,0,0,1.0,330,9,8.0,0,0,0.0,0.0,1.0,11.0,36.666666666666664,0.8888888888888888,0.0909090909090909,0.0,1.818181818181818,0.0,0.7272727272727273,0.0,0.0,8.454545454545455,0.086021505376344,0.0
24D61601-ECE5-47B6-8659-F1DEA304F535,0,0,1.0,953,44,408.0,0,0,0.0,0.0,1.0,20.0,21.65909090909091,9.272727272727273,0.3,0.3,10.2,0.0,0.35,0.2,0.15,3.65,0.0958904109589041,0.0821917808219178
F9106424-1A86-48FB-8CDE-F1E08FFC3974,0,0,1.0,4523,855,6911.0,1,0,1.0,0.0,1.0,20.0,5.2900584795321635,8.083040935672514,1.2,0.05,20.45,0.0,5.55,0.35,0.0,45.85,0.1210468920392584,0.0010905125408942
0ECE0ED1-EDD7-446A-92C5-F1E1A1794C8F,0,0,1.0,72,4,2.0,0,0,0.0,0.0,1.0,5.0,18.0,0.5,0.2,0.0,2.6,0.0,0.4,0.0,0.2,2.0,0.2,0.0
7FE2C51A-6629-4DB0-81BA-F1EB60D03EA7,0,0,1.0,42,7,4.0,0,0,0.0,0.0,1.0,4.0,6.0,0.5714285714285714,0.75,0.0,35.75,0.0,1.0,0.0,0.25,34.25,0.0291970802919708,0.0
62A5FB6C-FA55-4163-BDBC-F1F2677C2CFE,0,0,1.0,3232,138,39.0,0,0,0.0,0.0,1.0,3.0,23.420289855072465,0.2826086956521739,0.3333333333333333,0.6666666666666666,22.33333333333333,0.3333333333333333,10.0,0.0,0.6666666666666666,74.33333333333333,0.1345291479820627,0.0089686098654708
45D571A5-3708-4FC3-893B-F1F369D4A676,0,0,1.0,2898,111,114.0,0,0,0.0,0.0,1.0,6.0,26.10810810810811,1.027027027027027,0.1666666666666666,0.6666666666666666,1.6666666666666667,0.0,19.0,0.0,0.0,74.33333333333333,0.2556053811659193,0.0089686098654708
B4DC7839-6B8E-4291-8DA4-F1FCA185AE83,0,0,1.0,164,4,0.0,0,0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16969D71-019B-4EF4-A678-F205372C3F96,1,0,1.0,1000,1030,1682.0,0,0,0.0,0.0,0.0,0.0,0.970873786407767,1.633009708737864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4734D393-1BF6-4DBC-AF6E-F20B0D5E273A,0,0,1.0,1695,266,1564.0,0,0,1.0,0.0,1.0,20.0,6.37218045112782,5.879699248120301,0.7,0.5,16.55,0.0,3.95,0.55,0.1,15.85,0.2492113564668769,0.0315457413249211
AF7AAF2C-E185-4FD0-B002-F214433F42DA,0,0,1.0,441,36,6.0,0,0,1.0,0.0,1.0,2.0,12.25,0.16666666666666666,0.0,1.0,2.0,0.0,3.0,0.0,0.5,11.0,0.2727272727272727,0.0909090909090909
9C2E43BC-680D-4F80-97D0-F224B02CD9AC,0,0,1.0,82,2,0.0,0,0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B03B947F-25E0-4033-B1C5-F227A724CDF4,0,0,1.0,407,3,0.0,0,0,0.0,0.0,0.0,0.0,135.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D216C9F9-16F6-4A90-B05E-F22B8BB608B1,1,0,1.0,258,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704D3A9E-FB78-430A-AB36-F2339D688DC9,0,0,1.0,3302,68,4.0,0,0,0.0,0.0,1.0,2.0,48.55882352941177,0.058823529411764705,0.0,0.5,0.0,0.0,2.0,0.0,0.0,14.0,0.1428571428571428,0.0357142857142857
042DE81B-89AD-4C19-8A00-F23A0F848387,0,0,1.0,1308,79,493.0,0,0,0.0,0.0,1.0,20.0,16.556962025316455,6.2405063291139244,0.0,0.45,2.15,0.1,2.1,0.0,0.0,15.65,0.134185303514377,0.0287539936102236
254A1A28-5380-4FFA-A094-F23FFE2F4F3E,0,0,1.0,71,28,271.0,0,0,1.0,0.0,1.0,20.0,2.5357142857142856,9.678571428571429,1.35,0.15,22.9,0.0,3.4,0.0,0.0,10.85,0.3133640552995391,0.0138248847926267
0F1AA988-8509-43B8-BA38-F2568546E8D6,0,0,1.0,412,9,1.0,0,0,0.0,0.0,1.0,2.0,45.77777777777778,0.1111111111111111,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,55.5,0.009009009009009,0.0
AF67E491-001E-47A0-8D42-F259D435E98D,0,0,1.0,1771,24,80.0,0,0,0.0,0.0,1.0,20.0,73.79166666666667,3.3333333333333335,2.2,0.0,34.6,0.0,1.3,0.4,0.1,3.4,0.3823529411764706,0.0
93884D54-6E36-4537-957A-F26E9A920FF1,0,0,1.0,478,35,36.0,0,0,1.0,0.0,1.0,20.0,13.657142857142857,1.0285714285714285,0.5,0.0,7.15,0.0,0.4,0.0,0.35,0.95,0.4210526315789474,0.0
A80CEBEF-581A-4EA7-A65E-F270E8532E90,0,0,1.0,8136,1318,14400.0,1,0,1.0,0.0,1.0,20.0,6.17298937784522,10.925644916540213,0.5,8.0,40.15,0.45,115.35,0.5,0.0,1226.1,0.0940787863958894,0.0065247532827664
A69B3436-4486-49AC-8F75-F2751AADD4E2,0,0,1.0,22,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF28EC65-0EB7-4092-B776-F2852B6E8E5E,0,0,1.0,738,28,27.0,0,0,0.0,0.0,1.0,13.0,26.357142857142858,0.9642857142857143,0.2307692307692307,0.0,3.5384615384615383,0.0,1.4615384615384617,0.0,0.0,35.69230769230769,0.0409482758620689,0.0
30470FE7-60C2-47E8-BDDE-F28C33170DB0,0,0,1.0,395,10,3.0,0,0,0.0,0.0,1.0,1.0,39.5,0.3,1.0,0.0,29.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0
F9E55E27-876D-4AC1-AC75-F295EB4DF9C7,0,0,0.0,0,0,0.0,0,0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48D84B5A-6FE9-474B-B6FD-F29BBF194769,1,0,1.0,106,193,125.0,0,0,0.0,0.0,0.0,0.0,0.5492227979274611,0.6476683937823834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0D63323B-BC78-443A-A52D-F2A137D6D241,0,0,1.0,118,62,239.0,0,0,1.0,0.0,1.0,20.0,1.903225806451613,3.8548387096774195,1.55,0.6,39.7,0.1,11.15,0.15,0.0,160.25,0.069578783151326,0.0037441497659906
BE287579-40E0-4C13-A2CC-F2A489D2DCC1,0,0,1.0,120,0,0.0,0,0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBC04E46-FA9D-4B43-9BA5-F2AB89E504EA,1,0,1.0,71,9,7.0,0,0,0.0,0.0,0.0,0.0,7.888888888888889,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79ECAEF9-BFF9-4FE9-B539-F2B0266A14C4,0,0,1.0,28,26,234.0,1,1,1.0,0.0,1.0,17.0,1.0769230769230769,9.0,4.529411764705882,1.0588235294117647,99.3529411764706,0.1176470588235294,13.647058823529411,0.1176470588235294,0.0588235294117647,131.52941176470588,0.1037567084078712,0.0080500894454382
62DE321A-F681-41A3-898C-F2BFD9306468,1,0,1.0,1840,2,0.0,0,0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4840D9EF-2E7A-436D-A8EE-F2C1B9CAC8F5,0,0,1.0,2563,23400,1200000.0,1,0,1.0,0.0,1.0,20.0,0.10952991452991453,51.282051282051285,0.2,16.6,35.75,5.35,523.45,0.35,0.45,7583.2,0.0690275872982382,0.002189049477793
